,pivDiameter
0,0.7946904138964
1,0.798120803111607
2,0.804633779072337
3,0.803478399373754
4,0.779944887494502
5,0.799207113339844
6,0.768525891199978
7,0.762765068150589
8,0.746074899475832
9,0.756780925020419
10,0.764182068487522
11,0.768137919212684
12,0.808156850095447
13,0.805477195657971
14,0.804070982398592
15,0.807617469495807
16,0.80656372008519
17,0.814979246437707
18,0.778313870342844
19,0.792220824840399
20,0.795188763925378
21,0.793945022946286
22,0.791637883271261
23,0.767641931497456
24,0.786536245383371
25,0.784924483794822
26,0.793743926952621
27,0.785268846489638
28,0.800918429844698
29,0.770492444836388
30,0.784269899978784
31,0.786269212704081
32,0.790797340365785
33,0.789901688889814
34,0.775471942768554
35,0.802320373928187
