,Diameter
0,0.585482367
1,0.792173417
2,0.419000338
3,0.557934428
4,0.923330697
5,0.631899453
6,0.810906676
7,0.637173405
8,0.873265588
9,0.545285137
10,0.664328717
11,0.358767573
12,0.537247755
13,0.52904884
14,0.510438204
15,0.385832981
16,0.659270239
17,0.44630038
18,0.492443333
19,0.547186672
20,0.587515368
21,0.523890437
22,0.465587799
23,0.40129817
24,0.833183612
25,0.527935804
26,0.88970999
27,0.807234482
28,0.665595031
29,0.67199322
30,0.748373853
31,0.592122265
32,0.72673538
33,0.658303701
34,0.525567655
35,0.740831087
