,dT
0,1.200000029
1,1.200000029
2,1.200000029
3,1.249999925
4,1.249999925
5,1.249999925
6,1.233333349
7,1.233333349
8,1.233333349
9,1.183333285
10,1.183333285
11,1.183333285
12,1.233333349
13,1.233333349
14,1.233333349
15,1.233333349
16,1.233333349
17,1.233333349
18,1.183333285
19,1.183333285
20,1.183333285
21,1.183333285
22,1.183333285
23,1.183333285
24,1.233333349
25,1.233333349
26,1.233333349
27,1.149999965
28,1.149999965
29,1.149999965
30,1.216666605
31,1.216666605
32,1.216666605
33,1.216666605
34,1.216666605
35,1.216666605
